Entry	Mass	Gene Names (ordered locus)
P23059	9725	YCR020C-A
P23180	53135	YHL021C
P23248	28812	YML063W
P23285	22769	YHR057C
P23369	18587	YGR076C
P23500	33307	YKR052C
P23501	46488	YKR053C
P23624	33295	YHR014W
P23641	32812	YJR077C
P23748	63358	YMR036C
P23833	33166	YBR037C
P24000	17548	YGR148C
P24521	50455	YMR220W
P24719	56850	YOR351C
P24871	53853	YLR210W
P25037	92769	YDL122W
P25038	75657	YOL023W
P25039	84574	YLR069C
P25270	46387	YOR201C
P25332	36924	YCR036W
P25337	18447	YCR063W
P25338	20173	YGL010W
P25339	97798	YGL014W
P25345	56785	YCR024C
P25348	21437	YCR003W
P25349	26350	YCR004C
P25356	250872	YCR032W
P25360	102540	YCR037C
P25365	114079	YCR067C
P25367	42580	YCL028W
P25371	117231	YCR011C
P25379	39301	YCL064C
P25381	55068	YCR045C
P25558	184719	YCL014W
P25559	44074	YCL016C
P25560	22270	YCL001W
P25566	19279	YCL033C
P25569	84517	YCL039W
P25578	59370	YCL004W
P25587	29024	YCL005W
P25594	50225	YCL069W
P25596	68921	YCL073C
P25621	58256	YCR028C
P25625	42541	YCR044C
P25626	19394	YCR046C
P25628	71613	YCR048W
P25632	54165	YCR052W
P25638	12511	YCR060W
P26725	50836	YJL139C
P26798	34234	YDR123C
P27344	22665	YBR278W
P27929	56356	YNL137C
P28006	88533	YOR178C
P28239	35573	YMR267W
P28273	140428	YKL215C
P28584	101087	YKR050W
P29467	48215	YER044C-A
P29478	31170	YML105C
P30606	66710	YOL103W
P31334	29790	YGR220C
P31379	37050	YAL018C
P31381	58317	YAL022C
P31386	36467	YAL020C
P31787	10061	YGR037C
P32048	66128	YNL073W
P32190	79824	YHL032C
P32191	72389	YIL155C
P32263	30132	YER023W
P32264	47162	YDR300C
P32331	33376	YPR058W
P32338	33904	YGR044C
P32341	25287	YKL119C
P32343	65061	YKL124W
P32344	12772	YLR204W
P32352	24896	YMR202W
P32387	30566	YDR405W
P32445	15386	YCR028C-A
P32449	39749	YBR249C
P32451	41884	YGR286C
P32459	21727	YIR032C
P32463	13943	YKL192C
P32464	45853	YKL189W
P32469	33847	YLR172C
P32477	78254	YJL101C
P32489	26461	YPL121C
P32496	31919	YFR052W
P32522	112646	YLR067C
P32524	33052	YJL203W
P32559	58352	YMR023C
P32568	168767	YDR011W
P32590	77621	YBR169C
P32601	16126	YPR017C
P32608	65572	YGL252C
P32611	43786	YEL050C
P32613	17354	YEL048C
P32617	18533	YEL044W
P32656	26294	YER163C
P32767	123531	YGL016W
P32781	9464	YGL032C
P32785	44617	YBL013W
P32786	102049	YBL014C
P32787	30091	YJR144W
P32804	41582	YGL255W
P32805	33994	YGL254W
P32831	75024	YBR212W
P32836	24991	YOR185C
P32837	61873	YDL210W
P32841	48706	YMR133W
P32843	96689	YMR302C
P32875	46247	YOR196C
P32903	4501	YCR024C-A
P32904	23889	YHR147C
P32907	30701	YNR002C
P32909	81397	YBR172C
P32945	61420	YPL179W
P33200	112571	YBL005W
P33204	19916	YKL013C
P33306	93738	YER167W
P33311	85137	YPL270W
P33312	27116	YBR153W
P33315	75029	YBR117C
P33329	78492	YDR436W
P33336	86241	YGR143W
P33411	28377	YGR006W
P33412	36863	YGR007W
P33417	67856	YKL032C
P33448	6408	YOR045W
P33749	69723	YKL062W
P33750	56789	YLL011W
P33759	34883	YBR251W
P33893	61869	YBL080C
P33894	107200	YOR219C
P34072	65643	YNL076W
P34165	3927	YDR461W
P34166	4229	YNL145W
P34220	47390	YBL055C
P34222	22435	YBL057C
P34232	20784	YKL186C
P34237	77514	YKL179C
P34239	93359	YKL176C
P34240	55403	YKL175W
P34243	78273	YKL017C
P34253	35322	YKL110C
P35127	26385	YJR099W
P35176	25327	YDR304C
P35183	48349	YBL069W
P35184	47167	YIR012W
P35190	51571	YGL215W
P35202	36616	YOR143C
P35210	121338	YKL020C
P35497	38166	YJR159W
P35723	23459	YKL065C
P35727	13521	YKL061W
P35731	31184	YKL055C
P35842	52758	YAR071W
P35996	14905	YKL170W
P36002	73502	YKL198C
P36004	82590	YKL168C
P36008	46520	YKL081W
P36019	24648	YNL093W
P36023	101825	YKR064W
P36036	23778	YKL214C
P36039	28352	YKL207W
P36040	30739	YKL206C
P36053	16157	YKL160W
P36056	72190	YKL155C
P36059	37357	YKL151C
P36062	75459	YKL146W
P36064	13007	YKL137W
P36070	72388	YKL125W
P36080	50482	YKL082C
P36093	40646	YKL043W
P36097	118889	YKL033W
P36101	50266	YKL027W
P36106	67901	YKL005C
P36110	33780	YKR013W
P36115	68880	YKR019C
P36118	36647	YKR022C
P36120	83308	YKR024C
P36121	32142	YKR025W
P36123	117098	YKR028W
P36142	48757	YKR051W
P36144	31616	YKR060W
P36145	36985	YKR062W
P36147	21968	YKR065C
P36159	96816	YKR079C
P36164	38311	YKR088C
P36166	79434	YKR090W
P36167	27466	YKR091W
P36168	137491	YKR096W
P36169	39830	YKR100C
P36173	68954	YKR106W
P36224	43607	YMR294W
P36516	44000	YMR024W
P36517	36965	YLR439W
P36519	33099	YDR237W
P36520	36347	YNL284C
P36521	28515	YDL202W
P36523	28167	YLR312W-A
P36525	30049	YMR193W
P36526	16492	YBR282W
P36527	17342	YDR462W
P36528	32213	YNL252C
P36532	11949	YBR268W
P36533	7973	YML009C
P37261	21232	YCL026C-A
P37262	34501	YCR073W-A
P37302	60137	YBR286W
P37898	97663	YHR047C
P38064	26518	YBL038W
P38065	115012	YBL037W
P38066	38332	YBL033C
P38067	54189	YBR006W
P38068	22565	YBR014C
P38072	34889	YBR024W
P38082	25009	YBR066C
P38090	67262	YBR132C
P38113	37648	YBR145W
P38114	126904	YBR150C
P38122	34465	YBR176W
P38125	63407	YBR180W
P38126	63460	YBR186W
P38127	42102	YBR192W
P38131	54556	YBR199W
P38147	60017	YBR274W
P38158	68142	YBR299W
P38162	22966	YBL107C
P38163	111623	YBL106C
P38164	117636	YBL104C
P38166	24274	YBL102W
P38167	123610	YBL101C
P38175	20395	YBL090W
P38179	52861	YBL082C
P38193	50655	YBL046W
P38196	72165	YBL042C
P38200	38015	YBL031W
P38204	16505	YBL025W
P38210	19792	YBL006C
P38218	19938	YBR022W
P38219	44174	YBR025C
P38222	62594	YBR030W
P38224	33776	YBR040W
P38226	45515	YBR042C
P38227	77287	YBR043C
P38241	40925	YBR065C
P38254	86353	YBR094W
P38260	32604	YBR101C
P38266	103863	YBR108W
P38278	38550	YBR141C
P38279	33497	YBR147W
P38282	33772	YBR152W
P38288	47994	YBR162C
P38293	16760	YBR173C
P38300	31811	YBR185C
P38302	15970	YBR188C
P38326	34344	YBR231C
P38331	27577	YBR242W
P38337	16429	YBR258C
P38347	47977	YBR271W
P38349	50031	YBR273C
P38359	95951	YBR294W
P38616	37328	YNL160W
P38622	57981	YGL158W
P38625	58482	YMR217W
P38682	55094	YER122C
P38687	69006	YPL243W
P38688	73541	YPL210C
P38698	45051	YHR201C
P38699	83473	YHR178W
P38705	50390	YHR011W
P38727	26972	YHL044W
P38737	210431	YHL030W
P38748	67503	YHL010C
P38749	37955	YHL009C
P38751	17121	YHL006C
P38754	15153	YHL001W
P38756	48883	YHR003C
P38760	75920	YHR015W
P38769	72307	YHR035W
P38772	42334	YHR040W
P38773	27165	YHR043C
P38783	15292	YHR059W
P38789	51764	YHR066W
P38791	42892	YHR068W
P38794	26467	YHR071W
P38795	80686	YHR074W
P38798	126747	YHR077C
P38800	149680	YHR080C
P38812	20945	YHR100C
P38813	39069	YHR101C
P38816	37087	YHR106W
P38818	68284	YHR109W
P38824	17318	YHR116W
P38836	49829	YHR132C
P38837	32214	YHR133C
P38844	33417	YHR143W
P38858	27784	YHR163W
P38860	57847	YHR168W
P38861	59095	YHR170W
P38865	21651	YHR175W
P38866	49099	YHR176W
P38871	65815	YHR184W
P38877	15169	YHR191C
P38880	66703	YHR194W
P38890	60547	YHR207C
P38892	33785	YHR209W
P38904	161597	YDR464W
P38909	42368	YOR037W
P38927	28760	YIL139C
P38957	26123	YDR078C
P38962	23148	YDR084C
P38966	98712	YDR089W
P38972	148905	YGR061C
P38985	16430	YDL092W
P38986	41395	YDR321W
P38988	33215	YDL198C
P38999	48918	YNR050C
P39011	70993	YPL161C
P39012	69221	YLR088W
P39076	57203	YIL142W
P39077	58814	YJL014W
P39078	57604	YDL143W
P39079	59924	YDR188W
P39102	51347	YLR090W
P39103	7959	YML129C
P39106	88529	YER001W
P39113	160485	YMR280C
P39526	229900	YJL207C
P39535	97689	YJL198W
P39543	26598	YJL192C
P39547	27117	YAR027W
P39548	26458	YAR028W
P39677	91283	YJL102W
P39692	114829	YFR030W
P39713	46099	YAL061W
P39715	23891	YAL059W
P39724	13356	YAL046C
P39732	86636	YAL031C
P39734	58750	YAL028W
P39735	29770	YAL027W
P39924	62734	YEL069C
P39927	46983	YGR156W
P39932	63532	YDR536W
P39933	50027	YPR186C
P39938	13505	YGL189C
P39939	13447	YER131W
P39953	36961	YEL006W
P39954	49126	YER043C
P39970	54592	YER045C
P39983	27229	YEL057C
P39988	35559	YEL029C
P39994	61288	YEL020C
P40003	31365	YEL005C
P40004	39266	YEL004W
P40005	12994	YEL003W
P40007	26901	YER002W
P40012	59703	YER014W
P40017	103334	YER024W
P40020	98812	YER032W
P40023	16071	YER035W
P40025	37719	YER037W
P40026	53772	YER038C
P40029	21141	YER042W
P40030	17135	YER044C
P40031	16598	YER046W
P40033	15835	YER050C
P40035	33528	YER053C
P40037	13906	YER057C
P40038	47007	YER059W
P40040	24138	YER063W
P40043	18989	YER067W
P40051	57990	YER078C
P40071	81546	YER113C
P40074	48840	YER119C
P40077	63999	YER124C
P40079	40794	YER127W
P40080	23489	YER128W
P40085	64794	YER140W
P40088	45722	YER145C
P40099	24059	YER183C
P40151	66544	YNL218W
P40154	36154	YNL215W
P40165	27521	YNL200C
P40169	34081	YNL194C
P40185	15908	YIL051C
P40207	27921	YMR134W
P40212	22525	YMR142C
P40260	54202	YGR121C
P40310	77408	YJL093C
P40312	13297	YNL111C
P40314	16620	YDR252W
P40351	67385	YOR067C
P40354	51897	YJR062C
P40363	33934	YJL068C
P40366	18793	YJL065C
P40413	61914	YJR064W
P40433	93417	YIL107C
P40452	22044	YIL157C
P40459	35032	YIL145C
P40467	108781	YIL130W
P40468	269858	YIL129C
P40473	39498	YIL122W
P40474	59618	YIL121W
P40475	61759	YIL120W
P40480	123556	YIL112W
P40481	42515	YIL110W
P40486	59151	YIL104C
P40489	72687	YIL101C
P40493	39402	YIL096C
P40499	56333	YIL090W
P40504	61438	YIL085C
P40512	51288	YIL071C
P40516	28690	YIL064W
P40518	17134	YIL062C
P40522	71421	YIL056W
P40528	104218	YIL047C
P40532	16508	YIL040W
P40537	116883	YIL031W
P40547	105491	YIL017C
P40549	72410	YIL014W
P40550	160538	YIL013C
P40555	24846	YIL007C
P40566	86979	YIR007W
P40574	28386	YIR018W
P40576	24597	YIR024C
P40580	28804	YIR036C
P40582	26795	YIR038C
P40583	58214	YIR039C
P40858	18387	YJL096W
P40885	62858	YJL219W
P40886	63493	YJL214W
P40890	174402	YJL222W
P40897	91616	YJL212C
P40960	60074	YDR488C
P40965	99225	YFL003C
P40971	89397	YDR034C
P40975	4848	YEL017C-A
P40985	103457	YJR036C
P40986	57147	YDR182W
P41057	6661	YLR388W
P41058	6728	YDL061C
P41544	23716	YJL004C
P41698	66289	YLR353W
P41733	44741	YLR459W
P41734	27346	YOR126C
P41806	8435	YGR105W
P41814	54389	YNL062C
P41815	67365	YDR046C
P41818	26649	YMR311C
P41819	35951	YPL266W
P41910	44733	YDR005C
P41912	26542	YOL110W
P41930	52545	YPL092W
P41940	39566	YDL055C
P42826	68321	YGR194C
P42833	60979	YNL318C
P42841	53143	YNL317W
P42843	88942	YNL311C
P42846	68654	YNL308C
P42847	24563	YNL306W
P42900	73257	YLR139C
P42934	88026	YGR199W
P42937	17249	YGR203W
P42938	33337	YGR205W
P42944	60520	YJL110C
P42950	70382	YJL103C
P43124	46121	YDL105W
P43544	25132	YFL060C
P43549	70507	YFL054C
P43551	53240	YFL052W
P43553	96684	YFL050C
P43554	70276	YFL049W
P43556	82209	YFL047W
P43560	76347	YFL042C
P43568	42186	YFL029C
P43569	33090	YFL028C
P43574	56328	YFL021W
P43577	18135	YFL017C
P43579	78753	YFL013C
P43581	60662	YFL011W
P43582	22655	YFL010C
P43589	52167	YFR005C
P43591	39885	YFR007W
P43596	90897	YFR013W
P43602	79709	YFR022W
P43606	76286	YFR029W
P43610	96966	YFR038W
P43612	115002	YFR040W
P43614	23555	YFR042W
P43619	32365	YFR047C
P43621	60628	YFR051C
P43623	36971	YFR055W
P43634	74393	YLR098C
P43637	62091	YGL179C
P43638	155207	YJL042W
P46670	30709	YPL241C
P46671	24032	YMR052W
P46683	22356	YPL239W
P46784	12738	YMR230W
P46947	30472	YGL174W
P46950	61293	YGR197C
P46956	34882	YJL117W
P46961	32577	YPL076W
P46965	10819	YJR010C-A
P46969	25967	YJL121C
P46970	119967	YJR132W
P46974	155063	YJR127C
P46982	67204	YJL186W
P46988	12782	YJL179W
P46992	42958	YJL171C
P47019	19287	YJL122W
P47030	68768	YJL083W
P47031	82536	YJL082W
P47042	75327	YJL057C
P47055	24843	YJL038C
P47056	24746	YJL037W
P47079	61662	YJL008C
P47088	47166	YJR013W
P47095	27427	YJR024C
P47108	135118	YJR041C
P47117	49542	YJR065C
P47118	16076	YJR067C
P47123	24307	YJR074W
P47125	50775	YJR078W
P47130	49482	YJR084W
P47133	33855	YJR088C
P47135	120374	YJR091C
P47137	32344	YJR096W
P47138	20027	YJR097W
P47147	80152	YJR110W
P47149	23640	YJR112W
P47150	27816	YJR113C
P47161	92018	YJR126C
P47167	27568	YJR135C
P47168	48649	YJR136C
P47180	37287	YJR153W
P47771	55188	YMR170C
P47988	86833	YOR337W
P48015	44469	YDR019C
P48232	11461	YNL086W
P48234	81734	YGR145W
P48239	41301	YGR154C
P48361	126864	YGR097W
P48365	87306	YDL234C
P48525	61603	YOL033W
P48527	55287	YPL097W
P48565	61532	YNL294C
P48567	45273	YNL292W
P48570	47099	YDL182W
P48606	12379	YOR265W
P48743	90584	YLR176C
P49090	64593	YGR124W
P49167	8827	YLR325C
P49367	75151	YDR234W
P49954	32549	YLR351C
P49955	110028	YMR288W
P49960	50849	YMR268C
P50077	234599	YGR217W
P50078	69471	YGR221C
P50080	67169	YGR224W
P50086	25616	YGR232W
P50109	65584	YML017W
P50276	63221	YGR055W
P50278	35653	YNR034W
P50896	95348	YDR505C
P50944	80026	YNL101W
P50946	27205	YNL099C
P51401	21657	YNL067W
P51533	176461	YOR328W
P51534	89553	YOR035C
P51998	31970	YML025C
P52492	17753	YOR339C
P52867	84776	YDL093W
P52868	33237	YGL128C
P52892	56770	YDR111C
P52893	66422	YLR089C
P52919	37354	YLR457C
P52923	41335	YNR074C
P53059	64853	YGL257C
P53062	22807	YGL247W
P53065	45947	YGL243W
P53070	74215	YGL236C
P53073	21460	YGL231C
P53075	66862	YGL228W
P53080	19238	YGL222C
P53094	166971	YGL197W
P53102	26083	YGL183C
P53107	50296	YGL164C
P53108	34843	YGL161C
P53111	38083	YGL157W
P53121	90761	YGL139W
P53123	37423	YGL136C
P53124	48584	YGL134W
P53125	145643	YGL133W
P53128	68560	YGL125W
P53136	51907	YGL111W
P53153	32112	YGL085W
P53158	24442	YGL079W
P53167	41891	YGL063W
P53169	73102	YGL060W
P53174	27250	YGL053W
P53177	30806	YGL050W
P53179	60864	YGL045W
P53185	102371	YGL036W
P53187	24479	YGL033W
P53188	14417	YGL029W
P53189	56447	YGL028C
P53206	42801	YGR012W
P53207	71383	YGR013W
P53214	57528	YGR023W
P53219	38511	YGR031W
P53220	27206	YGR033C
P53221	14235	YGR034W
P53226	60751	YGR041W
P53228	37254	YGR043C
P53233	42823	YGR052W
P53235	71305	YGR054W
P53237	28136	YGR057C
P53239	35650	YGR062C
P53244	65477	YGR068C
P53246	98109	YGR071C
P53258	109259	YGR100W
P53260	20787	YGR102C
P53266	45056	YGR112W
P53280	128780	YGR134W
P53283	67589	YGR138C
P53295	41006	YGR173W
P53306	70354	YGR216C
P53312	46901	YGR244C
P53313	86618	YGR245C
P53320	40763	YGR257C
P53322	60135	YGR260W
P53331	62849	YGR276C
P53332	34307	YGR277C
P53333	67294	YGR278W
P53337	35013	YGR284C
P53341	68094	YGR292W
P53388	68097	YPL265W
P53389	65348	YNR055C
P53390	53690	YPR138C
P53437	42813	YMR270C
P53628	63871	YNR023W
P53629	74023	YNR019W
P53718	27564	YNR009W
P53727	35367	YNR027W
P53729	48122	YNR029C
P53730	62672	YNR030W
P53732	16917	YNR036C
P53756	149750	YNR070W
P53824	32033	YNL333W
P53830	32284	YNL286W
P53834	17246	YNL281W
P53836	118280	YNL278W
P53843	34496	YNL265C
P53849	17103	YNL255C
P53852	87530	YNL247W
P53861	43981	YNL230C
P53863	68783	YNL227C
P53875	16670	YNL185C
P53900	15180	YNL153C
P53903	15053	YNL149C
P53921	13244	YNL122C
P53934	45497	YNL092W
P53935	141514	YNL091W
P53938	41674	YNL080C
P53943	65296	YNL065W
P53944	35871	YNL063W
P53946	87560	YNL059C
P53953	98944	YNL049C
P53966	61728	YNL029C
P53971	108495	YNL023C
P54114	55385	YMR169C
P54838	62207	YML070W
P54839	55014	YML126C
P54885	49740	YOR323C
P54964	30870	YLR059C
P56628	13827	YFL034C-A
P57744	9764	YJR135W-A
P81451	7534	YOL077W-A
P87284	6138	YDR276C
P89114	10827	YHR079C-A
Q00723	27967	YGR075C
Q00873	26076	YKL087C
Q01163	50867	YGL129C
Q01329	88473	YAL043C
Q01802	51795	YKL106W
Q01846	129981	YML104C
Q01976	26087	YBR111C
Q02196	23060	YKL001C
Q02197	84302	YEL053C
Q02204	30271	YKR006C
Q02206	72291	YKR008W
Q02208	86366	YKR010C
Q02516	27676	YOR358W
Q02521	20648	YOR148C
Q02554	50253	YMR240C
Q02648	64855	YPL030W
Q02721	30237	YLR329W
Q02753	18242	YBR191W
Q02770	35026	YPL064C
Q02783	47083	YPL060W
Q02796	37309	YPL055C
Q02825	54649	YPL083C
Q02866	69538	YPL070W
Q02883	54368	YPL103C
Q02891	51724	YPL095C
Q02932	119623	YPL125W
Q02969	44911	YPL112C
Q02979	138014	YPL110C
Q02983	41721	YLR141W
Q03002	97693	YPL141C
Q03016	140891	YPL137C
Q03028	34206	YPL134C
Q03088	92144	YPL032C
Q03161	33956	YMR099C
Q03175	40200	YMR101C
Q03214	162701	YMR176W
Q03220	36974	YMR180C
Q03246	27635	YMR188C
Q03254	83441	YMR277W
Q03281	76377	YDR458C
Q03289	42923	YDR459C
Q03306	100476	YDR466W
Q03323	19446	YDR469W
Q03327	57543	YDR470C
Q03338	55870	YDR473C
Q03370	63543	YDR479C
Q03375	15763	YDR482C
Q03429	13927	YDR493W
Q03430	41216	YDR494W
Q03530	35911	YMR274C
Q03579	17207	YMR298W
Q03661	187138	YMR219W
Q03694	47315	YMR204C
Q03707	95498	YML034W
Q03718	64013	YML023C
Q03735	126139	YML117W
Q03750	57986	YML114C
Q03764	61657	YDR147W
Q03770	95744	YDR160W
Q03772	19935	YDR163W
Q03776	65145	YDR235W
Q03782	56498	YDR240C
Q03792	83124	YMR154C
Q03824	81467	YMR163C
Q03825	85050	YMR164C
Q03829	40992	YMR166C
Q03860	15882	YDR100W
Q03919	8693	YDR139C
Q03935	43597	YDR259C
Q03937	18258	YDR014W-A
Q03956	40017	YDR202C
Q03981	19476	YDR179C
Q04004	26623	YDR183W
Q04006	20921	YDR185C
Q04052	108205	YDR421W
Q04066	29991	YDR428C
Q04081	37695	YDR435C
Q04116	39598	YDR451C
Q04172	53571	YDR393W
Q04174	59883	YOR149C
Q04182	172256	YDR406W
Q04183	147662	YDR407C
Q04213	55427	YMR044W
Q04279	105874	YMR086W
Q04299	32067	YMR087W
Q04347	60054	YMR014W
Q04372	42568	YMR028W
Q04411	88648	YDR520C
Q04412	54494	YDR524C
Q04430	40903	YDR531W
Q04431	44675	YDR532C
Q04533	74313	YML082W
Q04545	141465	YML081W
Q04549	33018	YDR106W
Q04562	76347	YDR107C
Q04632	69829	YML071C
Q04658	40872	YML066C
Q04675	14890	YMR059W
Q04697	45870	YML048W
Q04712	59254	YML043C
Q04740	39431	YMR234W
Q04751	32334	YMR069W
Q04895	71756	YIR028W
Q04930	51697	YDR223W
Q04934	49976	YDR229W
Q04935	23758	YDR231C
Q04952	207483	YMR306W
Q04969	20802	YML055W
Q05024	26471	YMR233W
Q05040	59301	YMR029C
Q05043	43460	YMR030W
Q05050	93345	YMR031C
Q05131	48375	YMR034C
Q05468	83426	YDR333C
Q05498	21611	YDR339C
Q05506	69525	YDR341C
Q05518	54996	YDR348C
Q05541	33965	YDR288W
Q05543	46488	YDR289C
Q05584	31327	YDR272W
Q05635	39484	YDR279W
Q05670	79037	YMR232W
Q05788	33755	YLR209C
Q05809	11239	YLR218C
Q05874	29633	YLR285W
Q05892	31524	YLR290C
Q05911	54510	YLR359W
Q05924	66463	YLR361C
Q05926	12519	YLR364W
Q05933	20579	YLR370C
Q05934	102500	YLR373C
Q05942	24656	YLR221C
Q05947	42754	YLR224W
Q05998	66904	YLR237W
Q06001	54092	YLR238W
Q06005	37237	YLR239C
Q06071	14549	YLR408C
Q06090	16124	YPR100W
Q06091	20709	YPR101W
Q06098	49736	YPR106W
Q06103	48959	YPR108W
Q06104	32710	YPR109W
Q06137	58386	YLR345W
Q06162	17862	YLR315W
Q06169	59462	YLR324W
Q06179	303479	YLR454W
Q06201	22365	YLR445W
Q06208	45643	YLR453C
Q06236	18632	YLR164W
Q06244	29359	YLR165C
Q06245	100342	YLR166C
Q06315	114111	YLR187W
Q06325	64498	YDR349C
Q06328	35179	YDR352W
Q06333	13957	YDR357C
Q06336	62320	YDR358W
Q06337	112502	YDR359C
Q06338	32661	YDR361C
Q06349	50492	YDR370C
Q06405	11312	YDR377W
Q06407	113291	YDR379W
Q06412	149113	YLR425W
Q06417	36677	YLR426W
Q06436	76317	YLR427W
Q06451	68066	YPR156C
Q06497	36367	YPR128C
Q06511	28212	YPR143W
Q06525	54139	YPR152C
Q06538	89344	YLR241W
Q06567	65917	YLR253W
Q06568	21530	YLR254C
Q06624	39273	YPR180W
Q06667	32918	YDR315C
Q06668	55589	YDR316W
Q06672	23713	YLR435W
Q06683	78546	YDR332W
Q06698	163045	YLR419W
Q06702	34642	YLR307W
Q06707	15121	YLR385C
Q06709	49690	YLR387C
Q06815	42706	YPR079W
Q06819	16776	YPR082C
Q06835	12260	YPR094W
Q06891	21290	R0030W
Q06892	46247	YPL188W
Q06991	29251	YLR414C
Q07350	29921	YDL043C
Q07395	70164	YDL063C
Q07500	61659	YDL085W
Q07527	165048	YDL112W
Q07534	34204	YDL119C
Q07541	16947	YDL121C
Q07623	25216	YDL213C
Q07651	34135	YDL222C
Q07729	55204	YDL238C
Q07799	76622	YLL007C
Q07825	84924	YLL029W
Q07844	93069	YLL034C
Q07921	18605	YLR010C
Q07930	23654	YLR016C
Q07949	44772	YLR019W
Q07951	20061	YLR021W
Q07953	28283	YLR022C
Q07979	57794	YLR033W
Q07980	78248	YLR035C
Q07993	38600	YLR070C
Q08003	22850	YLR073C
Q08058	23765	YOL008W
Q08119	82189	YOL017W
Q08176	12758	YOL026C
Q08199	48275	YOL031C
Q08208	51942	YOL041C
Q08219	39600	YOL048C
Q08232	35762	YOL073C
Q08237	32895	YOL080C
Q08269	95869	YOL130W
Q08271	53813	YOL132W
Q08287	56966	YOL144W
Q08299	66970	YOL158C
Q08471	68691	YOR066W
Q08484	73289	YOR070C
Q08485	67193	YOR071C
Q08561	13092	YOR189W
Q08580	44131	YOR193W
Q08622	63853	YOR205C
Q08673	22048	YOR247W
Q08726	39724	YOR262W
Q08732	85696	YOR267C
Q08742	16697	YOR286W
Q08745	12739	YOR293W
Q08746	22963	YOR294W
Q08817	87326	YOR353C
Q08822	69634	YOR356W
Q08873	22748	YOR367W
Q08902	56110	YOR378W
Q08911	41714	YOR388C
Q08913	41985	YOR390W
Q08914	25926	YOR391C
Q08925	68664	YPL184C
Q08930	41032	YPL191C
Q08961	67178	YPL208W
Q08963	27193	YPL213W
Q08966	55431	YPL219W
Q08977	62780	YPL260W
Q08981	23870	YPL267W
Q08991	41971	YPL279C
Q12000	39514	YOR091W
Q12004	37457	YPR056W
Q12008	36073	YDL021W
Q12010	34873	YOL092W
Q12013	85236	YOR034C
Q12015	32935	YOR223W
Q12016	20101	YOL129W
Q12025	22769	YDR056C
Q12028	93624	YPR029C
Q12029	35414	YOR271C
Q12031	64976	YPR006C
Q12033	75947	YOR275C
Q12034	50943	YDR515W
Q12035	25636	YLR051C
Q12040	26177	YOR283W
Q12048	14986	YPL250C
Q12049	53719	YPR045C
Q12056	16930	YOR226C
Q12066	56887	YDL089W
Q12067	34408	YOR079C
Q12069	53399	YDL036C
Q12072	93446	YLR095C
Q12074	33324	YPR069C
Q12078	51775	YLR034C
Q12083	82001	YPL164C
Q12084	26595	YDR020C
Q12090	45880	YLR107W
Q12096	57578	YOR320C
Q12102	96254	YLR115W
Q12104	52374	YOR166C
Q12107	30856	YLR102C
Q12122	48594	YDL131W
Q12125	36280	YOR164C
Q12133	21349	YLR066W
Q12143	25416	YPL233W
Q12152	100646	YPL150W
Q12153	51856	YDR312W
Q12156	17130	YDR063W
Q12159	24956	YDR381W
Q12161	47068	YOL054W
Q12163	26571	YDR162C
Q12164	32186	YLL023C
Q12165	17020	YDL004W
Q12171	72028	YOR147W
Q12172	92468	YOR162C
Q12175	102209	YDL154W
Q12180	117927	YOL089C
Q12192	35195	YOR279C
Q12199	41020	YPR040W
Q12200	132645	YPL006W
Q12204	81769	YOR022C
Q12205	96997	YLR057W
Q12209	78949	YLR047C
Q12215	58230	YOL105C
Q12218	47849	YOR009W
Q12222	43206	YOL128C
Q12232	67452	YOR154W
Q12233	12921	YPR020W
Q12234	56069	YOR216C
Q12235	58905	YLL055W
Q12242	75361	YOR138C
Q12245	16573	YPL144W
Q12270	29500	YPL246C
Q12283	40707	YOR221C
Q12289	34754	YOR100C
Q12296	77712	YOL060C
Q12308	67683	YPL007C
Q12310	78939	YDL214C
Q12318	28251	YLR376C
Q12326	34863	YOL056W
Q12329	42817	YDR171W
Q12335	20966	YDR032C
Q12338	12482	YLR154C
Q12342	56549	YDL146W
Q12345	28243	YLR052W
Q12347	40475	YLR097C
Q12348	76388	YOL117W
Q12354	24700	YLR118C
Q12359	30028	YDR384C
Q12369	112979	YLL003W
Q12372	64218	YLL061W
Q12375	31520	YOR130C
Q12378	22541	YDR066C
Q12387	92809	YOL076W
Q12390	26340	YLL060C
Q12395	32204	YLR128W
Q12403	26511	YDL018C
Q12405	43727	YOR084W
Q12415	49146	YOR110W
Q12420	66430	YOR308C
Q12427	56264	YDR169C
Q12431	12404	YLL014W
Q12433	63869	YOR023C
Q12434	23138	YDL135C
Q12442	36279	YOL002C
Q12447	21947	YDR071C
Q12450	23515	YOR016C
Q12453	84769	YOR112W
Q12455	34091	YLR146C
Q12458	34755	YDR368W
Q12471	45318	YOL136C
Q12487	18463	YOR150W
Q12493	26976	YDR383C
Q12510	59156	YDL156W
Q12513	16771	YDL110C
Q12516	49580	YDL133W
Q12520	38075	YPL244C
Q12525	36715	YLL062C
Q12676	47851	YMR113W
Q12743	38131	YDR411C
Q12751	113249	YMR185W
Q12753	76671	YPR008W
Q2V2P9	7452	YDR119W-A
Q3E705	27121	YGR271C-A
Q3E731	11105	YLL018C-A
Q3E785	9352	YDR379C-A
Q3E790	9579	YBR058C-A
Q3E798	9985	YLR099W-A
Q3E7A4	12947	YBL059C-A
